type,buy_date,buy_price,sell_date,sell_price,return,profit,hold_days
AI,2023-01-03,14224.12,2023-07-12,16962.03,0.19248361234297784,49282.379999999976,120
AI,2023-07-13,17061.4,2024-01-04,17549.65,0.028617229535677025,8788.5,120
AI,2024-01-05,17519.14,2024-07-09,23900.08,0.3642267828215313,204190.08000000007,120
AI,2024-07-10,24007.08,2024-08-02,21638.09,-0.09867880641877314,-73438.69000000006,15
AI,2024-08-05,19830.88,2025-02-06,23316.6,0.17577233082949406,118514.47999999986,120
AI,2025-02-07,23478.27,2025-03-31,20695.9,-0.11850830576528848,-119641.90999999992,35
AI,2025-04-01,21280.17,2025-04-07,19232.35,-0.09623137409146632,-88056.26000000001,2
AI,2025-04-08,18459.95,2025-09-25,26023.85,0.4097465052722242,340375.5,120
