Metric,DCA_AI_Hybrid,Pure_DCA_50k,Yearly_Lump_Sum
Total_Invested,1800000.0,1520452.96,1780220.6800000002
Final_Value,2452298.01,2185930.5,2830499.75
Total_Return_Pct,36.23877833333332,43.76837412977249,58.99712781676032
Annualized_Return_Pct,11.092510525328624,13.144120660591273,17.08631523604258
Sharpe_Ratio,1.1490527898887004,2.0449879495714276,1.1821596758487674
Max_Drawdown_Pct,-21.30269922400406,-21.90472802145564,-26.71059091244299
DCA_Buys,36.0,N/A,N/A
AI_Trades,8.0,N/A,N/A
AI_Win_Rate_Pct,62.5,N/A,N/A
