date,status,price,buy_conf,sell_conf,buy_action,current_return,sell_action
2023-01-03,idle,14224.12,1.0,,BUY,,
2023-01-04,holding,14199.13,,0.9999938011169434,,0.998243125058,HOLD
2023-01-05,holding,14301.05,,0.9999938011169434,,1.0054084189390977,HOLD
2023-01-06,holding,14373.34,,0.9999938011169434,,1.0104906314063717,HOLD
2023-01-09,holding,14752.21,,0.9999938011169434,,1.0371263740744594,HOLD
2023-01-10,holding,14802.96,,0.9999938011169434,,1.0406942573600333,HOLD
2023-01-11,holding,14751.44,,0.9999938011169434,,1.0370722406728852,HOLD
2023-01-12,holding,14731.64,,0.9999938011169434,,1.0356802389181192,HOLD
2023-01-13,holding,14824.13,,0.9999938011169434,,1.04218257438773,HOLD
2023-01-16,holding,14927.01,,0.9999938011169434,,1.0494153592629982,HOLD
2023-01-17,holding,14932.93,,0.9999938011169434,,1.0498315537270495,HOLD
2023-01-30,holding,15493.82,,0.9999938011169434,,1.0892638701023332,HOLD
2023-01-31,holding,15265.2,,0.9999938011169434,,1.0731911710531126,HOLD
2023-02-01,holding,15420.13,,0.9999938011169434,,1.0840832332685606,HOLD
2023-02-02,holding,15595.16,,0.9999938011169434,,1.096388388174453,HOLD
2023-02-03,holding,15602.66,,0.9999938011169434,,1.0969156615664097,HOLD
2023-02-06,holding,15392.82,,0.9999938011169434,,1.0821632550906488,HOLD
2023-02-07,holding,15400.91,,0.9999938011169434,,1.0827320073227729,HOLD
2023-02-08,holding,15618.17,,0.9999938011169434,,1.0980060629409762,HOLD
2023-02-09,holding,15598.71,,0.9999938011169434,,1.0966379642466457,HOLD
2023-02-10,holding,15586.65,,0.9999938011169434,,1.0957901086323794,HOLD
2023-02-13,holding,15544.28,,0.9999938011169434,,1.0928113654834184,HOLD
2023-02-14,holding,15654.48,,0.9999938011169434,,1.1005587691892362,HOLD
2023-02-15,holding,15432.89,,0.9999938011169434,,1.0849803010660763,HOLD
2023-02-16,holding,15550.5,,0.9999938011169434,,1.0932486508831478,HOLD
2023-02-17,holding,15479.7,,0.9999938011169434,,1.088271190063076,HOLD
2023-02-20,holding,15551.23,,0.9999938011169434,,1.0932999721599648,HOLD
2023-02-21,holding,15563.0,,0.9999938011169434,,1.0941274398697423,HOLD
2023-02-22,holding,15418.77,,0.9999938011169434,,1.0839876210268191,HOLD
2023-02-23,holding,15615.41,,0.9999938011169434,,1.0978120263327362,HOLD
2023-02-24,holding,15503.79,,0.9999938011169434,,1.089964792198041,HOLD
2023-03-01,holding,15598.49,,0.9999938011169434,,1.0966224975604817,HOLD
2023-03-02,holding,15598.72,,0.9999938011169434,,1.096638667277835,HOLD
2023-03-03,holding,15608.42,,0.9999938011169434,,1.0973206075314326,HOLD
2023-03-06,holding,15763.51,,0.9999938011169434,,1.108223918245909,HOLD
2023-03-07,holding,15857.89,,0.9999938011169434,,1.1148591266102927,HOLD
2023-03-08,holding,15818.2,,0.9999938011169434,,1.1120687958200577,HOLD
2023-03-09,holding,15770.66,,0.9999938011169434,,1.1087265855462412,HOLD
2023-03-10,holding,15526.2,,0.9999938011169434,,1.0915402850932079,HOLD
2023-03-13,holding,15560.49,,0.9999938011169434,,1.093950979041234,HOLD
2023-03-14,holding,15360.42,,0.9999938011169434,,1.0798854340373956,HOLD
2023-03-15,holding,15387.59,,0.9999938011169434,,1.0817955697786577,HOLD
2023-03-16,holding,15221.12,,0.9999938011169434,,1.0700922095707854,HOLD
2023-03-17,holding,15452.96,,0.9999938011169434,,1.0863912846629526,HOLD
2023-03-20,holding,15419.97,,0.9999938011169434,,1.0840719847695321,HOLD
2023-03-21,holding,15513.45,,0.9999938011169434,,1.0906439203268814,HOLD
2023-03-22,holding,15760.46,,0.9999938011169434,,1.10800949373318,HOLD
2023-03-23,holding,15863.95,,0.9999938011169434,,1.115285163510994,HOLD
2023-03-24,holding,15914.7,,0.9999938011169434,,1.118853046796568,HOLD
2023-03-27,holding,15830.31,,0.9999938011169434,,1.1129201665902706,HOLD
2023-03-28,holding,15701.48,,0.9999938011169434,,1.1038630157788318,HOLD
2023-03-29,holding,15769.76,,0.9999938011169434,,1.1086633127392063,HOLD
2023-03-30,holding,15849.43,,0.9999938011169434,,1.1142643622241657,HOLD
2023-03-31,holding,15868.06,,0.9999938011169434,,1.1155741093297862,HOLD
2023-04-06,holding,15810.77,,0.9999938011169434,,1.111546443646426,HOLD
2023-04-07,holding,15836.5,,0.9999938011169434,,1.1133553428964322,HOLD
2023-04-10,holding,15876.17,,0.9999938011169434,,1.1161442676242888,HOLD
2023-04-11,holding,15913.88,,0.9999938011169434,,1.1187953982390473,HOLD
2023-04-12,holding,15932.97,,0.9999938011169434,,1.1201374847793746,HOLD
2023-04-13,holding,15804.76,,0.9999938011169434,,1.1111239219016713,HOLD
2023-04-14,holding,15929.43,,0.9999938011169434,,1.119888611738371,HOLD
2023-04-17,holding,15963.55,,0.9999938011169434,,1.1222873541561798,HOLD
2023-04-18,holding,15869.44,,0.9999938011169434,,1.1156711276339064,HOLD
2023-04-19,holding,15770.47,,0.9999938011169434,,1.108713227953645,HOLD
2023-04-20,holding,15707.52,,0.9999938011169434,,1.1042876466171545,HOLD
2023-04-21,holding,15602.99,,0.9999938011169434,,1.0969388615956557,HOLD
2023-04-24,holding,15626.87,,0.9999938011169434,,1.098617700075646,HOLD
2023-04-25,holding,15370.73,,0.9999938011169434,,1.0806102591935387,HOLD
2023-04-26,holding,15374.63,,0.9999938011169434,,1.0808844413573562,HOLD
