Metric,V4_No_Filter,Buy_Hold
Initial_Capital,1000000.0,1000000
Final_Value,2029331.3199999996,1970227.332165364
Total_Return_Pct,102.93313199999996,97.0227332165364
Annualized_Return_Pct,27.2188792988435,25.946168989682317
Sharpe_Ratio,1.4351727605570923,1.2022582554493082
Max_Drawdown_Pct,-23.489613501930464,-28.693158639001265
Trades,8.0,N/A
Win_Rate_Pct,62.5,N/A
Avg_Return_Pct,10.717849681579708,N/A
Avg_Hold_Days,81.5,N/A
