buy_date,buy_price,sell_date,sell_price,return,profit,hold_days
2023-01-03,14224.12,2023-07-12,16962.03,0.19248361234297784,172488.32999999984,120
2023-07-13,17061.4,2024-01-04,17549.65,0.028617229535677025,29783.25,120
2024-01-05,17519.14,2024-07-09,23900.08,0.3642267828215313,389237.3400000001,120
2024-07-10,24007.08,2024-08-02,21638.09,-0.09867880641877314,-139770.41000000015,15
2024-08-05,19830.88,2025-02-06,23316.6,0.17577233082949406,226571.80000000005,120
2025-02-07,23478.27,2025-03-31,20695.9,-0.11850830576528848,-178071.67999999993,35
2025-04-01,21280.17,2025-04-07,19232.35,-0.09623137409146632,-129012.66000000015,2
2025-04-08,18459.95,2025-09-25,26023.85,0.4097465052722242,499217.3999999999,120
